Year, Month, Day, Place, Province, Type, Loss, 2016Loss
2004, July, 15, Peterborough, ON, Flooding, 87303, 107065
2004, Sept, 9, eastern Ontario, ON, Rainstorm, 57600, 70638
2005, June, NA, Alberta, AB, Flooding, 300000, 360000
2005, JuneJuly, NA, Manitoba, MB, Flooding, 60000, 72000
2005, July, NA, Quebec, QC, Rainstorm, 57000, 68400
2005, Aug, 19, Ontario, ON, Hail/tornadoes/wind, 625400, 750480
2006, Feb, 6, British Columbia, BC, Storm, 6406, 7539
2006, Aug, 10, Alberta, AB, Hail, 13593, 15998
2006, Sept, 24, Greater Toronto Area, ON, Wind/hail, 4628, 5447
2006, NovDec, NA, British Columbia, BC, Storm, 133086, 156629
2007, Jan, 5, British Columbia, BC, Storm, 16235, 18696
2007, June, 5, Alberta, AB, Storm, 44621, 51384
2007, June, 22-24, Manitoba, MB, Storm, 17607, 20276
2007, Summer, NA, Manitoba, MB, Storms, 47400, 54584
2007, July, 7, Alberta, AB, Forest fires, 7376, 8494
2007, July, 28-29, Alberta, AB, Hail, 16581, 19094
2007, Aug, 1, Newfoundland and Labrador, NL, Wind, 6039, 6954
2008, Jan, 9, Ontario, ON, Storm, 28017, 31528
2008, April/May, NA, New Brunswick, ON, Flooding, 8010, 9014
2008, June, 10, several regions in Quebec, QC, Hail, 125000, 140666
2008, July, 1, Lethbridge, AB, Windstorm/hail, 20500, 23069
2008, Sept., NA, Saskatchewan, SK, Hail, 132000, 148543
2009, July, 24-28, Ontario, ON, Flooding/wind, 227900, 255790
2009, Aug, 1-3, Alberta, AB, Hail/wind, 376300, 422351
2010, June, 5-6, Leamington and Windsor/Essex County, ON, Flooding/hail/tornadoes/wind, 127200, 140193
2010, July, 12-13, Calgary and southern Alberta, AB, Hail/wind, 530000, 584137
2011, May, 14-17, Slave Lake, AB, Fire, 742000, 794602
2011, Nov, 27, Alberta, AB, Wind, 238500, 255408
2012, May, 26-29, Thunder Bay and Montreal, NA, Flooding/wind, 259700, 273997
2012, Aug, 12, region around Calgary, AB, Flooding/hail/wind, 562000, 592940
2013, June, 19-24, southern Alberta, AB, Flooding/hail/wind, 1827000, 1910316
2013, July, 8-9, Toronto and southern Ontario, ON, Flooding/wind, 999500, 1045080
2014, JuneJuly, NA, southern Manitoba and Saskatchewan, NA, Flooding/wind, 109400, 112196
2014, Aug, 7-8, southern Alberta Calgary, AB, Flooding/hail/wind, 568900, 583441
2015, July, 21-22, Alberta and Saskatchewan, NA, Flooding/hail/tornadoes/wind, 349410, 354378
2015, Aug, 4-5, Alberta, AB, Flooding/hail/wind, 131000, 132863
2016, May, 3-19, Fort McMurray, AB, Fire, 3816447, 3816447
2016, JulyAug, NA, Alberta Saskatchewan and Manitoba, NA, Hail/windstorm/flooding/water, 473172, 473172
